name,target_role,resume_summary,technical_skill_gap,soft_skill_gap,transferable_skills
Candidate_012,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Research Assistant | Technical Skills: Python, TensorFlow, OpenCV, SQL, R, React Native, Tableau | Soft Skills: Problem-solving, Effective communication, Adaptability, Time management, Analytical thinking","Machine Learning, Artificial Intelligence, Data Analysis, C++, Java, Statistical Analysis, Natural Language Processing, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Collaboration, Project Management, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Customer Focus, Teamwork","Problem-solving, Effective communication, Adaptability, Time management, Analytical thinking"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Research Assistant | Technical Skills: Python, TensorFlow, Pandas, scikit-learn, Node.js, MongoDB, Unity, C#, AWS | Soft Skills: Problem-solving, Effective communication, Adaptability, Creative thinking, Collaboration, Attention to detail","Machine Learning, Artificial Intelligence, Data Analysis, C++, Java, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Problem-solving, Effective communication, Adaptability, Creative thinking, Collaboration, Attention to detail"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Masked University, 2021 | Experience: AI Research Intern, Data Analysis Intern | Technical Skills: Python, Java, TensorFlow, SQL, JavaScript, HTML/CSS, Pandas, NumPy, React, Node.js | Soft Skills: Effective communication, Adaptability, Problem-solving, Critical thinking, Team-oriented","Machine Learning, Artificial Intelligence, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Collaboration, Project Management, Analytical Thinking, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Effective communication, Adaptability, Problem-solving, Critical thinking, Team-oriented"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Elite Technical University, 2021 | Experience: AI Research Intern, Research Assistant | Technical Skills: Python, Java, TensorFlow, Pandas, NLTK, Flask, Firebase, Tableau, HTML, CSS, JavaScript | Soft Skills: Problem-solving, Critical thinking, Clear communication, Team collaboration, Adaptability","Machine Learning, Artificial Intelligence, Data Analysis, Statistical Analysis, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Problem-solving, Critical thinking, Clear communication, Team collaboration, Adaptability"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Data Analytics Assistant | Technical Skills: Python, TensorFlow, Pandas, Flask, React, Node.js, SQL, Git | Soft Skills: effective communication, problem-solving, adaptability, team collaboration, creative thinking","Machine Learning, Artificial Intelligence, C++, Java, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","effective communication, problem-solving, adaptability, team collaboration, creative thinking"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Data Science Assistant | Technical Skills: Python, TensorFlow, R, Flask, React, Pandas, SQL, Machine Learning, Data Visualization, Firebase | Soft Skills: Analytical thinking, Effective communication, Team collaboration, Problem-solving, Adaptability","Artificial Intelligence, Data Analysis, C++, Java, Statistical Analysis, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Analytical thinking, Effective communication, Team collaboration, Problem-solving, Adaptability"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2020 - 2023 | Experience: AI Research Intern, Research Assistant | Technical Skills: Python, Java, TensorFlow, Flask, React Native, SQL, Data Analysis, Machine Learning | Soft Skills: Problem-solving, Adaptability, Effective communication, Team collaboration, Initiative","Artificial Intelligence, C++, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Problem-solving, Adaptability, Effective communication, Team collaboration, Initiative"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Research Assistant | Technical Skills: Python, TensorFlow, PyTorch, scikit-learn, Flask, React, MongoDB, JavaScript | Soft Skills: Effective communication, Problem-solving, Adaptability, Team collaboration, Time management","Machine Learning, Artificial Intelligence, Data Analysis, C++, Java, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Customer Focus, Teamwork","Effective communication, Problem-solving, Adaptability, Team collaboration, Time management"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Intern, Research Assistant | Technical Skills: Python, Java, Machine Learning, TensorFlow, R, Flask, React, APIs | Soft Skills: Critical Thinking, Effective Communication, Problem Solving, Adaptability, Team Collaboration","Artificial Intelligence, Data Analysis, C++, Statistical Analysis, Data Visualization, Natural Language Processing, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Analytical Thinking, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Critical Thinking, Effective Communication, Problem Solving, Adaptability, Team Collaboration"
Candidate_001,AI Engineer,"Target Role: AI Engineer | Education: Bachelor of Science in Computer Science, Top Engineering Institute, 2021 | Experience: AI Research Intern, Data Analyst Assistant | Technical Skills: Python, TensorFlow, SQL, Flask, JavaScript, Tableau, Natural Language Processing, Data Visualization | Soft Skills: Effective communication, Analytical thinking, Problem-solving, Team collaboration, Adaptability","Machine Learning, Artificial Intelligence, C++, Java, Statistical Analysis, Computer Vision, Big Data Technologies, Cloud Computing, Software Development, Agile Methodologies, Data Management, Algorithm Development, Embedded Systems","Project Management, Creativity, Attention to Detail, Leadership, Interpersonal Skills, Time Management, Customer Focus, Teamwork","Effective communication, Analytical thinking, Problem-solving, Team collaboration, Adaptability"
